stcode,stname,ctyname,census2010pop,estimatesbase2010,popestimate2019,npopchg_2019,births2019,deaths2019,naturalinc2019,internationalmig2019,domesticmig2019,netmig2019,residual2019,gqestimates2019,rbirth2019,rdeath2019,rnaturalinc2019,rinternationalmig2019,rdomesticmig2019,rnetmig2019
AL,Alabama,Greene County,9045,9039,8111,-98,96,93,3,0,-101,-101,0,45,11.764705882,11.397058824,0.3676470588,0.0,-12.37745098,-12.37745098
AL,Alabama,Hale County,15760,15762,14651,-98,190,181,9,-3,-103,-106,-1,221,12.925170068,12.31292517,0.612244898,-0.204081633,-7.006802721,-7.210884354
AL,Alabama,Henry County,17302,17299,17205,32,167,213,-46,-1,79,78,0,199,9.7155157368,12.39164582,-2.676130083,-0.058176741,4.5959625342,4.5377857932
AL,Alabama,Houston County,101547,101560,105882,1112,1304,1137,167,11,936,947,-2,1415,12.380608777,10.795055352,1.5855534246,0.1044376507,8.8866946433,8.991132294
AL,Alabama,Jackson County,53227,53223,51626,5,562,675,-113,-7,128,121,-3,597,10.886514862,13.075440449,-2.188925586,-0.13559716,2.4794909295,2.3438937693
AL,Alabama,Jefferson County,658466,658567,658573,-856,8422,7343,1079,460,-2375,-1915,-20,16663,12.779950258,11.142623456,1.6373268022,0.6980262549,-3.603939903,-2.905913648
AL,Alabama,Lamar County,14564,14564,13805,-77,159,172,-13,-1,-64,-65,1,217,11.485534727,12.424603605,-0.939068877,-0.072236067,-4.623108318,-4.695344385
AL,Alabama,Lauderdale County,92709,92709,92729,125,876,1136,-260,35,355,390,-5,2280,9.4532544123,12.259014854,-2.805760442,0.377698521,3.830942142,4.208640663
AL,Alabama,Alabama,4779736,4780125,4903185,15504,57313,53879,3434,2772,9387,12159,-89,116625,11.707442426,11.005972301,0.7014701253,0.5662420464,1.9175014754,2.4837435218
AL,Alabama,Autauga County,54571,54597,55869,336,624,541,83,-16,270,254,-1,455,11.202671406,9.7125724852,1.490098921,-0.287247985,4.8473097431,4.5600617583
AL,Alabama,Baldwin County,182265,182265,223234,5379,2304,2326,-22,80,5297,5377,24,2170,10.446871266,10.546624377,-0.099753111,0.3627385856,24.017828601,24.380567187
AL,Alabama,Barbour County,27457,27455,24686,-186,256,312,-56,13,-141,-128,-2,2812,10.331328948,12.591307155,-2.259978207,0.5246377981,-5.690302272,-5.165664474
AL,Alabama,Bibb County,22915,22915,22394,27,240,252,-12,10,31,41,-2,2148,10.723621009,11.25980206,-0.53618105,0.4468175421,1.3851343804,1.8319519224
AL,Alabama,Blount County,57322,57322,57826,55,651,657,-6,6,59,65,-4,489,11.263268078,11.367077,-0.103808922,0.1038089224,1.0207877367,1.1245966591
AL,Alabama,Bullock County,10914,10911,10101,-73,109,109,0,-1,-72,-73,0,1663,10.75215783,10.75215783,0.0,-0.09864365,-7.102342787,-7.200986436
AL,Alabama,Butler County,20947,20940,19448,-183,213,272,-59,18,-141,-123,-1,333,10.90099542,13.920519972,-3.019524553,0.9212108805,-7.216151897,-6.294941017
AL,Alabama,Calhoun County,118572,118526,113605,-726,1269,1532,-263,14,-475,-461,-2,2833,11.134704478,13.442369788,-2.30766531,0.1228414994,-4.167836586,-4.044995086
AL,Alabama,Chambers County,34215,34169,33254,-346,354,441,-87,6,-265,-259,0,458,10.590241422,13.192927873,-2.602686451,0.1794956173,-7.927723098,-7.748227481
AL,Alabama,Cherokee County,25989,25979,26196,182,222,343,-121,-3,306,303,0,290,8.5041179851,13.139245355,-4.63512737,-0.114920513,11.721892358,11.606971844
AL,Alabama,Chilton County,43643,43632,44428,265,551,503,48,35,184,219,-2,393,12.439186825,11.355555305,1.0836315201,0.7901479834,4.1539208272,4.9440688106
AL,Alabama,Choctaw County,13859,13858,12589,-244,133,176,-43,-2,-199,-201,0,129,10.463378176,13.84627488,-3.382896704,-0.157344033,-15.65573126,-15.81307529
AL,Alabama,Clarke County,25833,25833,23622,-296,266,324,-58,-5,-232,-237,-1,280,11.190576357,13.630626841,-2.440050484,-0.21034918,-9.760201935,-9.970551115
AL,Alabama,Clay County,13932,13930,13235,-59,143,187,-44,-2,-12,-14,-1,255,10.780655132,14.097779788,-3.317124656,-0.150778393,-0.904670361,-1.055448754
AL,Alabama,Cleburne County,14972,14972,14910,-100,187,189,-2,-11,-86,-97,-1,178,12.5,12.63368984,-0.13368984,-0.735294118,-5.748663102,-6.483957219
