stcode,jurisdiction,first_dose_allocations,week_of_allocations
CT,Connecticut,6400,2021-05-10
ME,Maine,2500,2021-05-10
MA,Massachusetts,12300,2021-05-10
NH,New Hampshire,2500,2021-05-10
,Rhode Island,2000,2021-05-10
VT,Vermont,1200,2021-05-10
NJ,New Jersey,15600,2021-05-10
NY,New York,19800,2021-05-10
NY,New York City,15100,2021-05-10
PR,Puerto Rico,6100,2021-05-10
,U.S. Virgin Islands,200,2021-05-10
DE,Delaware,1700,2021-05-10
DC,District of Columbia,1300,2021-05-10
MD,Maryland,10500,2021-05-10
PA,Pennsylvania,20000,2021-05-10
PA,Philadelphia,2800,2021-05-10
VA,Virginia,14800,2021-05-10
WV,West Virginia,3300,2021-05-10
AL,Alabama,8500,2021-05-10
FL,Florida,37000,2021-05-10
GA,Georgia,17600,2021-05-10
KY,Kentucky,7800,2021-05-10
AR,Mississippi,5100,2021-05-10
NC,North Carolina,17700,2021-05-10
SC,South Carolina,8700,2021-05-10
TN,Tennessee,11600,2021-05-10
IL,Chicago,4800,2021-05-10
IL,Illinois,17600,2021-05-10
IN,Indiana,11400,2021-05-10
MI,Michigan,17500,2021-05-10
MN,Minnesota,9600,2021-05-10
IN,Ohio,20300,2021-05-10
WI,Wisconsin,10200,2021-05-10
AR,Arkansas,5200,2021-05-10
LA,Louisiana,8000,2021-05-10
NM,New Mexico,3600,2021-05-10
OK,Oklahoma,6700,2021-05-10
MO,Texas,46300,2021-05-10
IA,Iowa,5500,2021-05-10
AR,Kansas,5000,2021-05-10
MO,Missouri,10600,2021-05-10
NE,Nebraska,3300,2021-05-10
CO,Colorado,9700,2021-05-10
MT,Montana,1900,2021-05-10
ND,North Dakota,1400,2021-05-10
SD,South Dakota,1500,2021-05-10
UT,Utah,4900,2021-05-10
NY,Wyoming,1000,2021-05-10
AZ,Arizona,12000,2021-05-10
CA,California,67600,2021-05-10
HI,Hawaii,2600,2021-05-10
AR,Nevada,5100,2021-05-10
AS,American Samoa,0,2021-05-10
GU,Guam,0,2021-05-10
,Marshall Islands,0,2021-05-10
,Micronesia,0,2021-05-10
,Mariana Islands,0,2021-05-10
,Palau,0,2021-05-10
AK,Alaska,1900,2021-05-10
ID,Idaho,2900,2021-05-10
MO,Oregon,7300,2021-05-10
AL,Washington,12900,2021-05-10
,Federal Entities,33200,2021-05-10
CT,Connecticut,8300,2021-05-03
ME,Maine,3200,2021-05-03
MA,Massachusetts,16000,2021-05-03
NH,New Hampshire,3200,2021-05-03
,Rhode Island,2500,2021-05-03
VT,Vermont,1500,2021-05-03
NJ,New Jersey,20200,2021-05-03
NY,New York,25700,2021-05-03
NY,New York City,19500,2021-05-03
PR,Puerto Rico,7900,2021-05-03
,U.S. Virgin Islands,300,2021-05-03
DE,Delaware,2200,2021-05-03
DC,District of Columbia,1700,2021-05-03
MD,Maryland,13600,2021-05-03
PA,Pennsylvania,26000,2021-05-03
PA,Philadelphia,3600,2021-05-03
VA,Virginia,19200,2021-05-03
WV,West Virginia,4300,2021-05-03
AL,Alabama,11000,2021-05-03
FL,Florida,48100,2021-05-03
GA,Georgia,22800,2021-05-03
KY,Kentucky,10100,2021-05-03
AR,Mississippi,6700,2021-05-03
NC,North Carolina,23000,2021-05-03
SC,South Carolina,11300,2021-05-03
TN,Tennessee,15100,2021-05-03
IL,Chicago,6200,2021-05-03
IL,Illinois,22800,2021-05-03
IN,Indiana,14800,2021-05-03
MI,Michigan,22700,2021-05-03
MN,Minnesota,12400,2021-05-03
IN,Ohio,26400,2021-05-03
WI,Wisconsin,13200,2021-05-03
AR,Arkansas,6700,2021-05-03
LA,Louisiana,10400,2021-05-03
NM,New Mexico,4800,2021-05-03
OK,Oklahoma,8700,2021-05-03
MO,Texas,60100,2021-05-03
IA,Iowa,7100,2021-05-03
AR,Kansas,6400,2021-05-03
MO,Missouri,13800,2021-05-03
NE,Nebraska,4300,2021-05-03
CO,Colorado,12500,2021-05-03
MT,Montana,2400,2021-05-03
ND,North Dakota,1800,2021-05-03
SD,South Dakota,2000,2021-05-03
UT,Utah,6300,2021-05-03
NY,Wyoming,1300,2021-05-03
AZ,Arizona,15600,2021-05-03
CA,California,87800,2021-05-03
HI,Hawaii,3300,2021-05-03
AR,Nevada,6600,2021-05-03
AS,American Samoa,0,2021-05-03
GU,Guam,0,2021-05-03
,Marshall Islands,0,2021-05-03
,Micronesia,0,2021-05-03
,Mariana Islands,0,2021-05-03
