stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
NY,Wyoming,5300,5300,2021-02-08
AL,Alabama,40400,40400,2021-02-01
AK,Alaska,32300,32300,2021-02-01
AS,American Samoa,3200,0,2021-02-01
AZ,Arizona,57200,57200,2021-02-01
AR,Arkansas,24500,24500,2021-02-01
CA,California,322000,322000,2021-02-01
IL,Chicago,22400,22400,2021-02-01
CO,Colorado,45800,45800,2021-02-01
CT,Connecticut,30300,30300,2021-02-01
DE,Delaware,8000,8000,2021-02-01
DC,District of Columbia,6100,6100,2021-02-01
,Federal Entities,151180,151800,2021-02-01
FL,Florida,176100,176100,2021-02-01
GA,Georgia,83500,83500,2021-02-01
GU,Guam,9200,0,2021-02-01
HI,Hawaii,12000,12000,2021-02-01
ID,Idaho,13400,13400,2021-02-01
IL,Illinois,83600,83600,2021-02-01
IN,Indiana,54300,54300,2021-02-01
IA,Iowa,25800,25800,2021-02-01
AR,Kansas,23500,23500,2021-02-01
KY,Kentucky,36700,36700,2021-02-01
LA,Louisiana,38100,38100,2021-02-01
ME,Maine,11600,11600,2021-02-01
,Mariana Islands,3200,0,2021-02-01
,Marshall Islands,6600,0,2021-02-01
MD,Maryland,49900,49900,2021-02-01
MA,Massachusetts,58400,58400,2021-02-01
MI,Michigan,83100,83100,2021-02-01
,Micronesia,9400,0,2021-02-01
MN,Minnesota,45500,45500,2021-02-01
AR,Mississippi,24300,24300,2021-02-01
MO,Missouri,50400,50400,2021-02-01
MT,Montana,8800,8800,2021-02-01
NE,Nebraska,15500,15500,2021-02-01
AR,Nevada,24100,24100,2021-02-01
NH,New Hampshire,11600,11600,2021-02-01
NJ,New Jersey,74000,74000,2021-02-01
NM,New Mexico,17300,17300,2021-02-01
NY,New York,94200,94200,2021-02-01
NY,New York City,71500,71500,2021-02-01
NC,North Carolina,84200,84200,2021-02-01
ND,North Dakota,6400,6400,2021-02-01
IN,Ohio,96600,96600,2021-02-01
OK,Oklahoma,31700,31700,2021-02-01
MO,Oregon,34600,34600,2021-02-01
,Palau,2800,0,2021-02-01
PA,Pennsylvania,95200,95200,2021-02-01
PA,Philadelphia,13200,13200,2021-02-01
PR,Puerto Rico,28900,28900,2021-02-01
,Rhode Island,9100,9100,2021-02-01
SC,South Carolina,41400,41400,2021-02-01
SD,South Dakota,7000,7000,2021-02-01
TN,Tennessee,55200,55200,2021-02-01
MO,Texas,220500,220500,2021-02-01
,U.S. Virgin Islands,900,900,2021-02-01
UT,Utah,22900,22900,2021-02-01
VT,Vermont,5500,5500,2021-02-01
VA,Virginia,70100,70100,2021-02-01
AL,Washington,61300,61300,2021-02-01
WV,West Virginia,15600,15600,2021-02-01
WI,Wisconsin,48300,48300,2021-02-01
NY,Wyoming,4800,4800,2021-02-01
AL,Alabama,30600,30600,2021-01-25
AK,Alaska,0,0,2021-01-25
AS,American Samoa,0,0,2021-01-25
AZ,Arizona,43400,43400,2021-01-25
AR,Arkansas,18600,18600,2021-01-25
CA,California,244000,244000,2021-01-25
IL,Chicago,17000,17000,2021-01-25
CO,Colorado,34700,34700,2021-01-25
CT,Connecticut,23000,23000,2021-01-25
DE,Delaware,6100,6100,2021-01-25
DC,District of Columbia,4600,4600,2021-01-25
,Federal Entities,105300,105300,2021-01-25
FL,Florida,133500,133500,2021-01-25
GA,Georgia,63300,63300,2021-01-25
GU,Guam,0,0,2021-01-25
HI,Hawaii,9100,9100,2021-01-25
ID,Idaho,10200,10200,2021-01-25
IL,Illinois,63300,63300,2021-01-25
IN,Indiana,41100,41100,2021-01-25
IA,Iowa,19500,19500,2021-01-25
AR,Kansas,17800,17800,2021-01-25
KY,Kentucky,27900,27900,2021-01-25
LA,Louisiana,28900,28900,2021-01-25
ME,Maine,8800,8800,2021-01-25
,Mariana Islands,0,0,2021-01-25
,Marshall Islands,0,0,2021-01-25
MD,Maryland,37800,37800,2021-01-25
MA,Massachusetts,44300,44300,2021-01-25
MI,Michigan,63000,63000,2021-01-25
,Micronesia,0,0,2021-01-25
MN,Minnesota,34500,34500,2021-01-25
AR,Mississippi,18500,18500,2021-01-25
MO,Missouri,38200,38200,2021-01-25
MT,Montana,6700,6700,2021-01-25
NE,Nebraska,11800,11800,2021-01-25
AR,Nevada,18300,18300,2021-01-25
NH,New Hampshire,8800,8800,2021-01-25
NJ,New Jersey,56100,56100,2021-01-25
NM,New Mexico,13200,13200,2021-01-25
NY,New York,71400,71400,2021-01-25
NY,New York City,54200,54200,2021-01-25
NC,North Carolina,63800,63800,2021-01-25
ND,North Dakota,4800,4800,2021-01-25
IN,Ohio,73200,73200,2021-01-25
OK,Oklahoma,24100,24100,2021-01-25
MO,Oregon,26200,26200,2021-01-25
,Palau,0,0,2021-01-25
PA,Pennsylvania,72100,72100,2021-01-25
PA,Philadelphia,10000,10000,2021-01-25
PR,Puerto Rico,21900,21900,2021-01-25
,Rhode Island,6900,6900,2021-01-25
SC,South Carolina,31400,31400,2021-01-25
SD,South Dakota,5300,5300,2021-01-25
TN,Tennessee,41800,41800,2021-01-25
MO,Texas,167100,167100,2021-01-25
,U.S. Virgin Islands,700,700,2021-01-25
UT,Utah,17400,17400,2021-01-25
VT,Vermont,4200,4200,2021-01-25
VA,Virginia,53100,53100,2021-01-25
AL,Washington,46500,46500,2021-01-25
WV,West Virginia,11900,11900,2021-01-25
