stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
HI,Hawaii,9750,9750,2021-02-08
ID,Idaho,10725,10725,2021-02-08
IL,Illinois,63375,63375,2021-02-08
IN,Indiana,40950,40950,2021-02-08
IA,Iowa,19500,19500,2021-02-08
AR,Kansas,18525,18525,2021-02-08
KY,Kentucky,28275,28275,2021-02-08
LA,Louisiana,29250,29250,2021-02-08
ME,Maine,8775,8775,2021-02-08
,Mariana Islands,0,0,2021-02-08
,Marshall Islands,0,0,2021-02-08
MD,Maryland,38025,38025,2021-02-08
MA,Massachusetts,43875,43875,2021-02-08
MI,Michigan,62400,62400,2021-02-08
,Micronesia,0,0,2021-02-08
MN,Minnesota,34125,34125,2021-02-08
AR,Mississippi,18525,18525,2021-02-08
MO,Missouri,38025,38025,2021-02-08
MT,Montana,6825,6825,2021-02-08
NE,Nebraska,11700,11700,2021-02-08
AR,Nevada,18525,18525,2021-02-08
NH,New Hampshire,8775,8775,2021-02-08
NJ,New Jersey,55575,55575,2021-02-08
NM,New Mexico,13650,13650,2021-02-08
NY,New York,71175,71175,2021-02-08
NY,New York City,53625,53625,2021-02-08
NC,North Carolina,63375,63375,2021-02-08
ND,North Dakota,4875,4875,2021-02-08
IN,Ohio,73125,73125,2021-02-08
OK,Oklahoma,24375,24375,2021-02-08
MO,Oregon,26325,26325,2021-02-08
,Palau,0,0,2021-02-08
PA,Pennsylvania,71175,71175,2021-02-08
PA,Philadelphia,10725,10725,2021-02-08
PR,Puerto Rico,22425,22425,2021-02-08
,Rhode Island,6825,6825,2021-02-08
SC,South Carolina,31200,31200,2021-02-08
SD,South Dakota,5850,5850,2021-02-08
TN,Tennessee,41925,41925,2021-02-08
MO,Texas,165750,165750,2021-02-08
,U.S. Virgin Islands,975,975,2021-02-08
UT,Utah,17550,17550,2021-02-08
VT,Vermont,4875,4875,2021-02-08
VA,Virginia,52650,52650,2021-02-08
AL,Washington,46800,46800,2021-02-08
WV,West Virginia,11700,11700,2021-02-08
WI,Wisconsin,37050,37050,2021-02-08
NY,Wyoming,3900,3900,2021-02-08
AL,Alabama,30225,30225,2021-02-01
AK,Alaska,27300,27300,2021-02-01
AS,American Samoa,7800,0,2021-02-01
AZ,Arizona,42900,42900,2021-02-01
AR,Arkansas,18525,18525,2021-02-01
CA,California,240825,240825,2021-02-01
IL,Chicago,17550,17550,2021-02-01
CO,Colorado,34125,34125,2021-02-01
CT,Connecticut,23400,23400,2021-02-01
DE,Delaware,6825,6825,2021-02-01
DC,District of Columbia,4875,4875,2021-02-01
,Federal Entities,119925,104325,2021-02-01
FL,Florida,131625,131625,2021-02-01
GA,Georgia,62400,62400,2021-02-01
GU,Guam,7800,0,2021-02-01
HI,Hawaii,9750,9750,2021-02-01
ID,Idaho,10725,10725,2021-02-01
IL,Illinois,62400,62400,2021-02-01
IN,Indiana,40950,40950,2021-02-01
IA,Iowa,19500,19500,2021-02-01
AR,Kansas,17550,17550,2021-02-01
KY,Kentucky,28275,28275,2021-02-01
LA,Louisiana,29250,29250,2021-02-01
ME,Maine,8775,8775,2021-02-01
,Mariana Islands,7800,0,2021-02-01
,Marshall Islands,0,0,2021-02-01
MD,Maryland,38025,38025,2021-02-01
MA,Massachusetts,43875,43875,2021-02-01
MI,Michigan,62400,62400,2021-02-01
,Micronesia,0,0,2021-02-01
MN,Minnesota,34125,34125,2021-02-01
AR,Mississippi,18525,18525,2021-02-01
MO,Missouri,38025,38025,2021-02-01
MT,Montana,6825,6825,2021-02-01
NE,Nebraska,11700,11700,2021-02-01
AR,Nevada,18525,18525,2021-02-01
NH,New Hampshire,8775,8775,2021-02-01
NJ,New Jersey,55575,55575,2021-02-01
NM,New Mexico,13650,13650,2021-02-01
NY,New York,70200,70200,2021-02-01
NY,New York City,53625,53625,2021-02-01
NC,North Carolina,63375,63375,2021-02-01
ND,North Dakota,4875,4875,2021-02-01
IN,Ohio,72150,72150,2021-02-01
OK,Oklahoma,24375,24375,2021-02-01
MO,Oregon,26325,26325,2021-02-01
,Palau,0,0,2021-02-01
PA,Pennsylvania,71175,71175,2021-02-01
PA,Philadelphia,10725,10725,2021-02-01
PR,Puerto Rico,22425,22425,2021-02-01
,Rhode Island,6825,6825,2021-02-01
SC,South Carolina,31200,31200,2021-02-01
SD,South Dakota,5850,5850,2021-02-01
TN,Tennessee,41925,41925,2021-02-01
MO,Texas,164775,164775,2021-02-01
,U.S. Virgin Islands,975,975,2021-02-01
UT,Utah,17550,17550,2021-02-01
VT,Vermont,4875,4875,2021-02-01
VA,Virginia,52650,52650,2021-02-01
AL,Washington,45825,45825,2021-02-01
WV,West Virginia,11700,11700,2021-02-01
WI,Wisconsin,36075,36075,2021-02-01
NY,Wyoming,3900,3900,2021-02-01
AL,Alabama,30225,30225,2021-01-25
AK,Alaska,0,0,2021-01-25
AS,American Samoa,0,0,2021-01-25
AZ,Arizona,42900,42900,2021-01-25
AR,Arkansas,18525,18525,2021-01-25
CA,California,241800,241800,2021-01-25
IL,Chicago,17550,17550,2021-01-25
CO,Colorado,35100,35100,2021-01-25
CT,Connecticut,23400,23400,2021-01-25
DE,Delaware,6825,6825,2021-01-25
DC,District of Columbia,4875,4875,2021-01-25
,Federal Entities,105300,105300,2021-01-25
FL,Florida,132600,132600,2021-01-25
GA,Georgia,63375,63375,2021-01-25
GU,Guam,0,0,2021-01-25
HI,Hawaii,9750,9750,2021-01-25
ID,Idaho,10725,10725,2021-01-25
IL,Illinois,63375,63375,2021-01-25
IN,Indiana,40950,40950,2021-01-25
IA,Iowa,19500,19500,2021-01-25
AR,Kansas,18525,18525,2021-01-25
KY,Kentucky,28275,28275,2021-01-25
LA,Louisiana,29250,29250,2021-01-25
ME,Maine,8775,8775,2021-01-25
,Mariana Islands,0,0,2021-01-25
,Marshall Islands,0,0,2021-01-25
MD,Maryland,38025,38025,2021-01-25
MA,Massachusetts,43875,43875,2021-01-25
MI,Michigan,62400,62400,2021-01-25
,Micronesia,0,0,2021-01-25
MN,Minnesota,34125,34125,2021-01-25
AR,Mississippi,18525,18525,2021-01-25
MO,Missouri,38025,38025,2021-01-25
MT,Montana,6825,6825,2021-01-25
NE,Nebraska,11700,11700,2021-01-25
AR,Nevada,18525,18525,2021-01-25
NH,New Hampshire,8775,8775,2021-01-25
NJ,New Jersey,55575,55575,2021-01-25
NM,New Mexico,13650,13650,2021-01-25
NY,New York,71175,71175,2021-01-25
NY,New York City,53625,53625,2021-01-25
NC,North Carolina,63375,63375,2021-01-25
ND,North Dakota,4875,4875,2021-01-25
IN,Ohio,73125,73125,2021-01-25
OK,Oklahoma,24375,24375,2021-01-25
MO,Oregon,26325,26325,2021-01-25
,Palau,0,0,2021-01-25
PA,Pennsylvania,71175,71175,2021-01-25
PA,Philadelphia,10725,10725,2021-01-25
PR,Puerto Rico,22425,22425,2021-01-25
,Rhode Island,6825,6825,2021-01-25
SC,South Carolina,31200,31200,2021-01-25
SD,South Dakota,5850,5850,2021-01-25
TN,Tennessee,41925,41925,2021-01-25
MO,Texas,165750,165750,2021-01-25
,U.S. Virgin Islands,975,975,2021-01-25
UT,Utah,17550,17550,2021-01-25
VT,Vermont,4875,4875,2021-01-25
VA,Virginia,52650,52650,2021-01-25
AL,Washington,46800,46800,2021-01-25
WV,West Virginia,11700,11700,2021-01-25
WI,Wisconsin,37050,37050,2021-01-25
NY,Wyoming,3900,3900,2021-01-25
AL,Alabama,30225,30225,2021-01-18
AK,Alaska,0,0,2021-01-18
AS,American Samoa,0,0,2021-01-18
AZ,Arizona,42900,42900,2021-01-18
AR,Arkansas,18525,18525,2021-01-18
CA,California,241800,241800,2021-01-18
IL,Chicago,17550,17550,2021-01-18
CO,Colorado,35100,35100,2021-01-18
CT,Connecticut,23400,23400,2021-01-18
DE,Delaware,6825,6825,2021-01-18
DC,District of Columbia,4875,4875,2021-01-18
,Federal Entities,105300,105300,2021-01-18
FL,Florida,132600,132600,2021-01-18
GA,Georgia,63375,63375,2021-01-18
GU,Guam,0,0,2021-01-18
HI,Hawaii,9750,9750,2021-01-18
ID,Idaho,10725,10725,2021-01-18
IL,Illinois,63375,63375,2021-01-18
IN,Indiana,40950,40950,2021-01-18
IA,Iowa,19500,19500,2021-01-18
AR,Kansas,18525,18525,2021-01-18
KY,Kentucky,28275,28275,2021-01-18
LA,Louisiana,29250,29250,2021-01-18
ME,Maine,8775,8775,2021-01-18
,Mariana Islands,0,0,2021-01-18
,Marshall Islands,0,0,2021-01-18
MD,Maryland,38025,38025,2021-01-18
MA,Massachusetts,43875,43875,2021-01-18
MI,Michigan,62400,62400,2021-01-18
,Micronesia,0,0,2021-01-18
MN,Minnesota,34125,34125,2021-01-18
AR,Mississippi,18525,18525,2021-01-18
MO,Missouri,38025,38025,2021-01-18
MT,Montana,6825,6825,2021-01-18
NE,Nebraska,11700,11700,2021-01-18
AR,Nevada,18525,18525,2021-01-18
NH,New Hampshire,8775,8775,2021-01-18
NJ,New Jersey,55575,55575,2021-01-18
NM,New Mexico,13650,13650,2021-01-18
NY,New York,71175,71175,2021-01-18
NY,New York City,53625,53625,2021-01-18
NC,North Carolina,63375,63375,2021-01-18
ND,North Dakota,4875,4875,2021-01-18
IN,Ohio,73125,73125,2021-01-18
